stand_id,name,category,brands,stand_description,is_not_on_map,festival_city,festival_slug
"O","Organisatie stand (drams verkoop en informatie)","organisation","Drams Verkoop, Informatie, Muntverkoop, Festival Boekjes, Programma Vragen","Centrale infodesk van het Amsterdam Whisky Festival. Hier kunt u terecht voor drams verkoop, festivalgidsen, vragen over het programma en algemene assistentie.","true","amsterdam","amsterdam"
"1","Nog te verkopen","independent","Beschikbare Standplek","Deze standplek in Studio 2 is momenteel nog beschikbaar. Geïnteresseerde standhouders kunnen contact opnemen met de organisatie.","false","amsterdam","amsterdam"
"2","DAM dranken - Thalassa","independent","Thalassa, DAM Dranken Selecties, Craft Spirits","DAM dranken presenteert Thalassa en een unieke selectie van ambachtelijke spirits en karaktervolle whisky's voor de fijnproever.","false","amsterdam","amsterdam"
"3","De Monnik Dranken","scotch","Glenallachie, Loch Lomond, Glen Scotia, Tomatin, Glencadam","Koninklijk bekroond familiebedrijf en kwaliteitsimporteur met een prachtig portfolio aan Schotse single malts uit de Highlands, Speyside en Campbeltown. Grote presentatie langs de noordwand.","false","amsterdam","amsterdam"
"4","Mitra Drankspeciaalzaken","world","Mitra Selecties, Single Casks, Exclusieve Import, Festival Aanbiedingen","Mitra Drankspeciaalzaken presenteert een gevarieerde selectie van bekende en zeldzame whisky's, deskundig advies en unieke festivalaanbiedingen in de noordoosthoek.","false","amsterdam","amsterdam"
"5","Bresser & Timmer","scotch","Craft Spirits, Signatory Vintage, Edradour, Kilchoman, Gordon & MacPhail","Toonaangevende kwaliteitsimporteur van craft spirits, Schotse independent bottelings en legendarische distilleerderijen.","false","amsterdam","amsterdam"
"6","Whisky Import Nederland (WIN)","independent","Blackadder, The Ultimate, Samaroli, Creative Whisky Co.","Gespecialiseerd importeur van exclusieve onafhankelijke bottelingen, ongefilterde single casks en legendarische distillaatjaren.","false","amsterdam","amsterdam"
"7","Nog te verkopen","independent","Beschikbare Standplek","Deze standplek in Studio 2 is momenteel nog beschikbaar. Geïnteresseerde standhouders kunnen contact opnemen met de organisatie.","false","amsterdam","amsterdam"
"8","Nog te verkopen","independent","Beschikbare Standplek","Deze standplek in de alkoof van Studio 2 is momenteel nog beschikbaar. Geïnteresseerde standhouders kunnen contact opnemen met de organisatie.","false","amsterdam","amsterdam"
"9","Craft Spirits","independent","Craft Spirits Selecties, Artisan Malts, Small Batch Releases","Ambachtelijke gedistilleerde dranken, unieke small-batch whisky's en innovatieve expressies met een puur en eigenzinnig karakter.","false","amsterdam","amsterdam"
"10","Distilleerderij de Bronckhorst","dutch","Bronckhorst Single Malt, Achterhoekse Graanwhisky, Special Cask Finishes","Ambachtelijke Nederlandse single malt whisky, ter plaatse gedistilleerd in de Achterhoek met passie voor lokaal graan en eikenhout.","false","amsterdam","amsterdam"
"11","Van Weringhs Whisky World","independent","Oude Whisky’s, Zeldzame Specials, Vintage Bottelingen, Collectibles","Zeldzame en oude whisky specials, historische verzamelflessen en bijzondere vondsten voor de doorgewinterde kenner en verzamelaar.","false","amsterdam","amsterdam"
"12","Dutch Whisky Teers","dutch","Dutch Whisky Teers, Single Casks, Independent Selections","Passievolle Nederlandse whisky-enthousiastelingen en bottelaars met eigenzinnige drams, single casks en een hart voor het ambacht.","false","amsterdam","amsterdam"
"13","Nog te verkopen","independent","Beschikbare Standplek","Deze standplek is momenteel nog beschikbaar. Neem contact op met de organisatie voor deelname als standhouder.","true","amsterdam","amsterdam"
"14","Niet op plattegrond","organisation","Niet op plattegrond","Standnummer 14 bevindt zich niet op de zaalplattegrond van Studio 2.","true","amsterdam","amsterdam"
"15","International Whisky Society","world","IWS Club, Festival Bottelingen 2000-2026, 25 Jaar Jubileum Uitgaven, Glazen & Merchandise","De International Whisky Society viert het festivaljubileum met historische festivalbottelingen, exclusieve glazen, clublidmaatschappen en merchandise.","false","amsterdam","amsterdam"
"16","Cane & Grain Slijterij","independent","Cane & Grain Selecties, Rare Malts, Distillery Collectibles","Onafhankelijke bottelingen, zeldzame whisky-vondsten en unieke single casks met een verhaal.","false","amsterdam","amsterdam"
"17","Brugse Whisky Company","world","Brugse Single Malt, Vlaamse Whisky Expressies, Special Cask Finishes","Ambachtelijke whisky rechtstreeks uit het historische Brugge met karaktervolle vatrijpingen en passie voor het vak.","false","amsterdam","amsterdam"
"18","Nog te verkopen","independent","Beschikbare Standplek","Deze centrale standplek in Studio 2 is momenteel nog beschikbaar. Geïnteresseerde standhouders kunnen contact opnemen met de organisatie.","false","amsterdam","amsterdam"
"19","Bacardi Martini","scotch","Aberfeldy, Aultmore, Craigellachie, The Deveron, Royal Brackla","Het befaamde 'Last Great Malts of Scotland' portfolio van Bacardi met o.a. de honingzachte single malts van Aberfeldy en de expressies van Craigellachie.","false","amsterdam","amsterdam"
"20","Nog te verkopen","independent","Beschikbare Standplek","Deze standplek in Studio 2 is momenteel nog beschikbaar. Geïnteresseerde standhouders kunnen contact opnemen met de organisatie.","false","amsterdam","amsterdam"
"S","Festival Slijterij","organisation","Festival Botteling 2026, Flesverkoop Standhouders","De officiële festivalslijterij waar u geproefde flessen en speciale festivaluitgaven direct kunt aanschaffen voor thuis.","true","amsterdam","amsterdam"
"C","Festival Catering & Food","catering","Warme Hapjes, Broodjes, Waterpunten","Cateringpunten voor een stevige bodem tijdens het proeven, snacks en gratis waterpunten.","true","amsterdam","amsterdam"
"NP1","Demi’s Chocolaterie","catering","Ambachtelijke Bonbons, Whisky Truffels","Ambachtelijke chocolaterie gespecialiseerd in handgemaakte chocolade en whisky bonbons.","true","amsterdam","amsterdam"
"NP2","Kiltshop & Celtic Crafts","catering","Traditionele Kilts, Schotse Accessoires, Tweed","Traditionele Schotse kilts, kleding, glencairn-accessoires en Keltische geschenken.","true","amsterdam","amsterdam"
"NP3","Barrel Atelier","catering","Vatmeubilair, Eikenhouten Accessoires","Handgemaakte meubels en decoratieve accessoires vervaardigd uit authentieke gebruikte whiskyvaten.","true","amsterdam","amsterdam"
"NP4","Whisky Passion Magazine","catering","Tijdschrift Whisky Passion, Boeken & Naslagwerken","Het toonaangevende Nederlandstalige whiskymagazine met achtergrondverhalen, distilleerderij-reportages en boeken.","true","amsterdam","amsterdam"
"NP5","Whisky Base","world","WhiskyBase Community, Bottle Archive","De grootste online whisky database en community ter wereld met proefnotities, scores en marktinzichten.","true","amsterdam","amsterdam"
