stand_id,name,category,brands,stand_description,is_not_on_map,festival_city,festival_slug
"1","Premium Spirits SRL","scotch","The GlenAllachie, MacNair's Lum Reek, Meikle Tòir Peated, White Heather","Meesterblender Billy Walker presenteert de bekroonde Speyside single malts van The GlenAllachie en rokerige expressies van Meikle Tòir.","Nee","gent","gent"
"2","Distilleerderij de Bronckhorst","world","Bronckhorst Dutch Single Malt, Achterhoekse Graandistillaten","Kleine ambachtelijke stokerij uit de Achterhoek met passie voor lokaal geteeld graan en zorgvuldig geselecteerde eiken vaten.","Nee","gent","gent"
"3","TWM Spirits BV","world","Waterford Terroir Whisky, Cotswolds English Single Malt, Teeling Irish Whiskey","Baanbrekende Ierse terroir-whisky van Waterford en ambachtelijke Engelse expressies van de Cotswolds Distillery.","Nee","gent","gent"
"4","SMWS / Spirituoos GCV","independent","The Scotch Malt Whisky Society, Single Cask Cask Strength Expressies","The Scotch Malt Whisky Society: proef unieke, onafhankelijke single cask bottelingen rechtstreeks uit het vat.","Nee","gent","gent"
"5","The Whisky House","independent","Zeldzame Vintage Bottelingen, Exclusieve Single Casks, Distillery Selects","Gespecialiseerde whiskyimporteur met een indrukwekkende selectie van zeldzame distillaatjaren en limited single cask edities.","Nee","gent","gent"
"6","Diageo","scotch","Talisker, Lagavulin, Oban, The Singleton, Cardhu, Mortlach","De legendarische Classic Malts of Scotland: van de maritieme rook van Talisker en Lagavulin tot de fruitige Speyside elegantie van The Singleton.","Nee","gent","gent"
"7","Stand 7 (Gereserveerd)","independent","","Exposantpositie gereserveerd voor later moment.","Ja","gent","gent"
"8","Stand 8 (Beschikbaar)","independent","Beschikbare Stand","Exposantpositie in voorbereiding voor het festivalweekend.","Nee","gent","gent"
"9","La Martiniquaise Benelux","scotch","Glen Turner Single Malt, Label 5, Cutty Sark Blended Scotch","Traditionele Highland single malts van Glen Turner met speciale houtrijpingen in port- en sherryvaten.","Nee","gent","gent"
"10","Brugse Whisky BVBA Transvaal","belgian","Brugse Single Malt Selecties, Transvaal Private Casks","Ambachtelijke West-Vlaamse whiskyspecialisten met passie voor authentieke graandistillaten en eigen vatselecties.","Nee","gent","gent"
"11","Alcobrands","world","Penderyn Welsh Single Malt, Kavalan Taiwanese Single Malt, Westward American Single Malt","Toonaangevende internationale wereldwhisky's: de unieke Faraday-stook van Penderyn en de subtropische prijswinnaars van Kavalan.","Nee","gent","gent"
"12","Cley Whisky","world","Cley Dutch Single Malt, Cley Rye Whisky, Cley Cask Strength","Ambachtelijke Nederlandse craft distilleerderij uit Rotterdam met handgestookte single malt en roggewhisky's op eikenhouten vaten.","Nee","gent","gent"
"13","Glengarry Bar – Verkoop whisky","independent","Glengarry Festival Selections, Verkoop per Glas & Fles, Zeldzame Open Flessen","De gezellige Glengarry whiskybar waar u bijzondere festivaldrams kunt proeven én direct een fles voor thuis kunt aanschaffen.","Nee","gent","gent"
"14","Glengarry Whisky Club","independent","Glengarry Club Bottelingen, Whisky Tastings & Masterclasses, Community Drams","De actieve Glengarry Whisky Club presenteert exclusieve clubbottelingen, tastings en informatie over lidmaatschap en evenementen.","Nee","gent","gent"
"15","Chocolatier Vandenbouhede uit Gent","catering","Artisanale Gentse Chocolade, Whisky Pralines, Cacao Food Pairings","Gerenommeerde Gentse meesterchocolatier met ambachtelijke creaties en speciale chocoladepairings afgestemd op whisky.","Nee","gent","gent"
"16","Exposant (Niet op plattegrond)","independent","","Exposant niet aanwezig op de fysieke plattegrond.","Ja","gent","gent"
"17","Exposant (Niet op plattegrond)","independent","","Exposant niet aanwezig op de fysieke plattegrond.","Ja","gent","gent"
"18","Waterloo Beers & Spirits","belgian","Waterloo Single Malt Whisky, Waterloo Gin, Artisanale Bieren","Historische Belgische distilleerderij van de befaamde Ferme de Mont-Saint-Jean in Waterloo met lokale graandistillaten.","Nee","gent","gent"
"19","Stand 19 (Gereserveerd)","independent","","Exposantpositie gereserveerd voor later moment.","Ja","gent","gent"
"20","Young Charly","independent","Douglas Laing, Big Peat, Timorous Beastie, Scallywag, Rock Island","Karaktervolle Remarkable Regional Malts en onafhankelijke single cask bottelingen van het iconische Schotse familiebedrijf Douglas Laing.","Nee","gent","gent"
"21","DaDa Chapel Distillery Gent","belgian","Dada Chapel Rye Whisky, Gentse Single Cask, Bratski Vodka, Organic Gin","Lokale Gentse biologische distilleerderij aan het water met eigenzinnige rogge- en moutdistillaten en innovatieve vatrijpingen.","Nee","gent","gent"
"22","Exposant (Niet op plattegrond)","independent","","Exposant niet aanwezig op de fysieke plattegrond.","Ja","gent","gent"
"23","Filliers Distillery","belgian","Filliers Single Malt 10Y, Filliers Barrel Aged Genever, Sunken Still","Eeuwenoude Belgische meesterdistilleerders met decennialange traditie en expertise in ambachtelijke graandistillaten en houtlagering.","Nee","gent","gent"
"24","BV Munros","independent","Ardara Distillery, The Legendary Silkie Irish Whiskey, James Eadie Single Cask","Traditionele Ierse turfwhiskey van The Sliabh Liag Distillers en historische single cask heruitgaven van James Eadie.","Nee","gent","gent"
"25","Cinoco","scotch","Benromach Speyside Single Malt, Gordon & MacPhail, Compass Box Whisky","Exclusieve Belgische verdeler van traditioneel handgestookte Speyside whisky van Benromach en baanbrekende blends van Compass Box.","Nee","gent","gent"
"26","Old whisky Collection!","independent","Vintage Single Malts, Zeldzame Gesloten Distilleerderijen, Collector Drams","Unieke collectie van zeldzame historische bottelingen, gesloten Schotse distilleerderijen en memorabele proefglazen voor fijnproevers.","Nee","gent","gent"
"27","Bruichladdich","scotch","The Classic Laddie, Port Charlotte Heavily Peated, Octomore, The Botanist Gin","Vooruitstrevende Islay distilleerderij met 100% Schotse gerst, ongekoelde filtering en het legendarische turfkanon Octomore.","Nee","gent","gent"
"28","Brown-Forman","scotch","The GlenDronach 12Y & 15Y, Benriach The Original Ten, Glenglassaugh Coastal Malt, Woodford Reserve","De ultieme sherryvatgerijpte Highland malts van GlenDronach, creatieve expressies van Benriach en Kentucky Straight Bourbon van Woodford Reserve.","Nee","gent","gent"
"29","Disaronno International B.V.","world","The Busker Triple Cask Irish Whiskey, Glen Moray Speyside Single Malt","Toegankelijke en veelzijdige Ierse whiskey uit County Carlow en fruitige Speyside single malt gerijpt in wijn- en chardonnayvaten.","Nee","gent","gent"
"30","Bacardi Martini Belgium BV","scotch","Aberfeldy, Aultmore, Craigellachie, Royal Brackla, Dewar's","The Last Great Malts of Scotland: ontdek karaktervolle single malts en zeldzame single cask vullingen van historische distilleerderijen.","Nee","gent","gent"
"31","De Cort Distillery","belgian","De Cort Belgian Single Malt, Pajottenland Grain Spirit, De Cort Gin","100% circulaire en biologische boerderij-distilleerderij uit het Pajottenland, gedistilleerd in koperen Holstein ketels.","Nee","gent","gent"
"32","El Cartel","independent","El Cartel Whisky Selections, Artisan Craft Spirits","Exclusieve onafhankelijke selecties en karaktervolle expressies gepresenteerd door El Cartel.","Nee","gent","gent"
"33","Stand 33 (Beschikbaar)","independent","Beschikbare Stand","Exposantpositie in voorbereiding voor het festivalweekend.","Nee","gent","gent"
"34","Stand 34 (Gereserveerd)","independent","","Exposantpositie gereserveerd voor later moment.","Ja","gent","gent"
"35","Beyond Jewels","catering","Luxe Whisky Glazen, Handgemaakte Accessoires, Whisky Sieraden","Exclusieve handgemaakte accessoires, gegraveerde Glencairn glazen en stijlvolle lifestyle items voor de whiskyliefhebber.","Nee","gent","gent"
